,Rate,Meta
All movies,mean      68.344311,mean      59.266467
All movies,std        8.914117,std       16.957773
All movies,50%       69.000000,50%       59.500000
Award nominated movies,mean     75.768293,mean      74.536585
Award nominated movies,std        5.705016,std       12.260161
Award nominated movies,50%       77.000000,50%       76.000000
Award winning movies,mean     77.750000,mean      79.569444
Award winning movies,std       5.375348,std       11.796187
Award winning movies,50%      78.000000,50%       81.000000
Best picture movies,mean     78.578947,mean      82.684211
Best picture movies,std       3.535268,std        9.110743
Best picture movies,50%      78.000000,50%       83.000000
High revenue movies,mean     73.363636,mean     66.909091
High revenue movies,std       7.944842,std      13.542042
High revenue movies,50%      74.000000,50%      65.500000
Not award nominee movies,mean      65.490933,mean      55.681347
Not award nominee movies,std        8.980952,std       16.260350
Not award nominee movies,50%       66.000000,50%       56.000000
